id,status,credit_history,purpose,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker
510.0,4.0,4.0,0.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
507.0,4.0,4.0,1.0,5.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0
106.0,4.0,4.0,9.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0
38.0,4.0,2.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0
757.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0
171.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
699.0,1.0,4.0,3.0,4.0,5.0,4.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0
216.0,4.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
12.0,1.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
337.0,1.0,4.0,0.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
634.0,1.0,2.0,0.0,1.0,4.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0
909.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0
475.0,4.0,2.0,8.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
799.0,3.0,2.0,0.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0
